site,SURE_year,phase,patch,H2Ohio_ID,sample_ID,topography,phase3_feature,latitude,longitude,collection_date,M3_extraction_date,WE_extraction_date,M3_analysis_date,P_mg_kgsoil,Fe_mg_kgsoil,Al_mg_kgsoil,Ca_mg_kgsoil,SPSC,PSI_analysis_date,PSI_mgP_per_100gdrysoil_over_log_umol_L,soil_PSR,NO3NO2_analysis_date,orthoP_analysis_date,NO3NO2_mg_kgsoil,orthoP_mg_kgsoil,NH3_mg_kgsoil,pH_measure_date,pH,elec_cond_measure_date,elec_cond,LOI_OM_percent
TRUC,2023,3,O,S02620,1,HL,HL,41.663888,-80.990937,20230711,20230726,NA,20230727,14.79906019,309.127968,872.9078458,NA,102.5361336,NA,NA,0.002513605,NA,NA,1.5627937,0.2355314,0.7390461,NA,NA,NA,NA,NA
TRUC,2023,3,O,S02630,6,HL,HL,41.663163,-80.99224,20230711,20230726,NA,20230728,10.2617659,364.5362797,809.3402938,NA,102.842177,NA,NA,0.006383407,NA,NA,3.443449495,0.211523232,1.872517677,NA,NA,NA,NA,NA
TRUC,2024,3,O,S02727,3,HL,HL,41.6627,-80.9919,20240709,20240723,20240712,20240918,3.439118958,178.8133391,846.8885023,10662.61469,103.6948232,20250409,60.05067625,0.003210111,20241212,20250404,0.801513122,0.101132157,NA,20240913,6.38,20241108,47.16,4.838128777
TRUC,2024,1,C,NA,3,Pool,NA,41.659155,-81.003133,20240708,20240718,20240711,20240830,15.45237315,875.7109404,626.5417625,2991.431511,104.9607589,20250409,107.0835746,0.012832797,20241212,20250404,0.087083333,0.290208333,NA,20240912,4.93,20241108,235.5,10.03142278
TRUC,2024,1,D,NA,1,Woods,NA,41.660917,-81.008822,20240708,20240718,20240711,20240830,11.94451424,324.7257412,865.6471169,8563.293812,105.4204884,20250409,70.40702,0.010177237,20241212,20250404,1.690912619,0.243867857,NA,20240912,4.94,20241108,NA,12.82276235
TRUC,2023,3,N,S02611,5,HM,HM,41.664898,-80.991579,20230711,20230726,NA,20230727,11.67762784,244.7561258,911.8262346,NA,106.5625322,NA,NA,0.00620008,NA,NA,1.609623529,0.481261177,1.265749412,NA,NA,NA,NA,NA
TRUC,2023,3,N,S02606,2,HL,HL,41.665632,-80.99184,20230711,20230725,NA,20230727,26.55116702,429.1010231,961.7254993,NA,107.6229747,NA,NA,0.008918986,NA,NA,1.312440874,0.383517087,0.506577087,NA,NA,NA,NA,NA
TRUC,2023,3,N,S02612,5,HL,HL,41.664989,-80.991579,20230711,20230726,NA,20230727,6.738868883,277.9831797,864.8302422,NA,107.9448098,NA,NA,0.005231678,NA,NA,1.6786956,0.1972374,0.6964492,NA,NA,NA,NA,NA
TRUC,2024,3,O,S02723,2,HM,HM,41.6632,-80.9923,20240709,20240723,20240712,20240918,11.0227169,296.3960305,895.0138155,6379.888737,108.145766,20250409,56.33567033,0.009249691,20241212,20250404,1.311228645,0.437926431,NA,20240913,6.15,20241108,77.72,7.560034391
TRUC,2023,3,O,S02626,4,HL,HL,41.663167,-80.992275,20230711,20230726,NA,20230728,6.498814592,302.7203343,860.856098,NA,109.0979517,NA,NA,0.001615698,NA,NA,1.3053235,0.1380375,0.6803715,NA,NA,NA,NA,NA
